#time mass lmass1 lmass2 lmass3 lmass4 lmass_{tot}
10 0.493434041863914 0.00205514989592862 0.00660589076126408 0.0424146682964906 0.442358332910231 0.493434041863914
20 0.49245951911578 0.00205514989592862 0.00950580425245368 0.0612724294457584 0.419626135521639 0.492459519115779
30 0.491533853747881 0.00205514989592862 0.0126014178803977 0.0780855697545337 0.398791716217021 0.491533853747881
40 0.490649936786299 0.0020551948532625 0.0158465784505578 0.0932080011432098 0.379540162339268 0.490649936786298
50 0.48980226557356 0.00205651826396607 0.0192057421566188 0.106898176148744 0.361641829004232 0.48980226557356
60 0.488986100451775 0.00206271221043687 0.0226469919108037 0.1193514445094 0.344924951821135 0.488986100451775
70 0.488197674510037 0.00207593629857599 0.0261471189292331 0.130724756372543 0.329249862909684 0.488197674510037
80 0.487434187073883 0.00209646668971253 0.0296903546886684 0.141146545826279 0.314500819869223 0.487434187073883
90 0.486693464306797 0.00212374561405316 0.0332654287398584 0.150722982002698 0.300581307950187 0.486693464306797
100 0.485973426076247 0.00215857104586299 0.0368608469436771 0.159541381689852 0.287412626396855 0.485973426076247
110 0.485272086812471 0.00220272771429409 0.0404648940412023 0.167674765311812 0.274929699745162 0.485272086812471
120 0.484587966175177 0.0022564027638926 0.0440703459997776 0.17518692735743 0.263074290054077 0.484587966175177
130 0.483919896378486 0.0023191383558737 0.0476722750226317 0.182133238609454 0.251795244390526 0.483919896378486
140 0.483266855899709 0.00239048097776341 0.0512666856408547 0.188561778584629 0.241047910696461 0.483266855899709
150 0.482627938946594 0.00246979716551087 0.054851016201419 0.194514894919727 0.230792230659937 0.482627938946594
160 0.482002380434478 0.00255647440403806 0.0584230043346048 0.200029638095666 0.220993263600169 0.482002380434478
170 0.481389418337021 0.00265033116508886 0.0619800798950085 0.205138601749306 0.211620405527618 0.481389418337021
180 0.480788333898775 0.00275131939578165 0.0655198900838632 0.209870766780944 0.202646357638186 0.480788333898775
190 0.480198511647239 0.00285932489569668 0.0690403766546251 0.214251998485013 0.194046811611904 0.480198511647239
200 0.479619438333945 0.00297398109578522 0.0725403101796411 0.218305671485241 0.185799475573278 0.479619438333945
210 0.479050676506718 0.00309483779406924 0.0760188054338961 0.222052897735656 0.177884135543097 0.479050676506718
220 0.478491751332173 0.00322175272220709 0.0794747520097794 0.225512766928222 0.170282479671965 0.478491751332173
230 0.477942206696138 0.00335473745553208 0.0829068287565418 0.228702592806263 0.162978047677801 0.477942206696138
240 0.477401606492865 0.003493776230328 0.0863141075730743 0.231638183425298 0.155955539264164 0.477401606492865
250 0.476869543823169 0.00363889601366458 0.0896956740540771 0.234333926011858 0.149201047743569 0.476869543823169
260 0.476345684967191 0.0037899617860583 0.0930509463489371 0.236803032879381 0.142701743952814 0.476345684967191
270 0.475829704693984 0.00394691925711777 0.096379276971826 0.239057678159082 0.136445830305958 0.475829704693984
280 0.47532121341203 0.00411004085599288 0.0996796423624596 0.241109047141644 0.130422483051934 0.47532121341203
290 0.474819850835155 0.00427959933027457 0.102951012887075 0.242967492620945 0.12462174599686 0.474819850835155
300 0.474325375881525 0.00445542624577653 0.106193199873481 0.244642694439716 0.119034055322551 0.474325375881525
310 0.47383759065302 0.00463723078969086 0.109406320375662 0.246143619467683 0.113650420019984 0.47383759065302
320 0.473356238918391 0.00482505187395772 0.112589940927639 0.247478596093821 0.108462650022973 0.473356238918391
330 0.472881039426415 0.00501906803280593 0.115743491145508 0.248655381549098 0.103463098699003 0.472881039426415
340 0.472411808038782 0.00521911981755022 0.118866980830564 0.249681256348929 0.0986444510417402 0.472411808038783
350 0.471948356462611 0.00542512585890607 0.121960308936916 0.250563007389633 0.0939999142771559 0.471948356462611
360 0.471490488214803 0.00563706022735517 0.125023369804103 0.251306983962763 0.0895230742205818 0.471490488214803
370 0.471038022703491 0.00585485525544834 0.128056203834834 0.251919123848715 0.0852078397644945 0.471038022703491
380 0.470590819410091 0.00607834976417837 0.131058963010939 0.252405008515594 0.0810484981193789 0.470590819410091
390 0.470148730547618 0.00630742959128246 0.134031789968648 0.252769875152351 0.0770396358353364 0.470148730547618
400 0.469711597245998 0.00654206809128671 0.136974686672405 0.253018646583775 0.0731761958985304 0.469711597245998
410 0.46927927684286 0.00678220753438163 0.139887721012722 0.253155950717722 0.0694533975780347 0.469279276842859
420 0.468851642570818 0.00702773843129973 0.142771104728015 0.253186135618856 0.0658666637926472 0.468851642570818
430 0.468428551206996 0.00727864125908593 0.145624925798717 0.253113305495621 0.0624116786535722 0.468428551206996
440 0.468009898011481 0.0075347862065936 0.148449419994691 0.252941346227296 0.0590843455829006 0.468009898011481
450 0.467595557425268 0.00779615364866652 0.151244648878321 0.252673937229072 0.0558808176692078 0.467595557425268
460 0.467185405363116 0.00806273740858438 0.154010671496229 0.252314556114025 0.0527974403442773 0.467185405363116
470 0.466779350703461 0.00833441891072187 0.156747743814719 0.251866489819119 0.0498306981589008 0.466779350703461
480 0.466377292300248 0.00861112981130234 0.159456074605791 0.251332842750522 0.0469772451326322 0.466377292300248
490 0.465979154314444 0.00889273031895409 0.162135972093201 0.25071655501638 0.0442338968859091 0.465979154314444
500 0.46558484460185 0.00917916495190843 0.164787610395181 0.250020422216833 0.0415976470379266 0.465584844601849
510 0.465194265681034 0.00947041297019442 0.167411122035056 0.249247096374911 0.0390656343008725 0.465194265681034
520 0.464807335507448 0.00976641200777846 0.170006703394544 0.248399094675386 0.0366351254297398 0.464807335507447
