#time fr_OV_exp
9.2820925135 12.0527848707
18.9407639608 11.4250979254
36.3407317626 10.198336846
33.9968040611 13.1061797661
41.8943622624 11.4523381663
45.4503750996 13.2765896449
59.0282625954 12.0215325013
58.3314192247 16.7252252536
75.8960954596 14.3866822509
71.5883364407 17.6367174989
84.3884341137 17.3271853047
81.0238772329 18.5151624753
88.7701007628 20.035108085
97.1603764989 17.2077013025
101.6652225318 19.0841632428
108.0599922518 18.9650311817
112.4944500654 21.316613602
125.1220966011 22.1711265838
128.3775517421 21.7195861573
132.0060644451 18.7499071866
141.3923334838 19.960936499
147.9138019985 18.9865875738
152.4292062642 20.7917814421
162.0477564265 20.4349131704
166.5103695278 22.5964473987
178.0258821992 20.1964730777
177.7232128563 22.2394911418
189.0592355686 21.0510740448
187.0672489635 23.7355927422
198.3610387442 22.8322479333
202.9609088731 24.0672972255
208.0710935916 21.8577230376
214.0963251605 24.2329734966
220.0898820307 26.8220281716
226.9069810663 23.8521732304
231.4998123732 25.1347345706
239.5275887802 24.7541982602
247.6574281051 23.6847372538
260.3871375588 23.8503255396
255.2910304841 25.9648756316
267.6054494442 28.9336747495
278.9625886222 27.6027215085
281.0636769672 24.1817660671
290.4182713073 25.6065995955
299.9066032639 26.1287042119
304.6155751326 26.6273167601
309.1274599874 28.4562666524
320.5901814944 26.4126326914
332.9714692627 28.9300673533
339.6337142159 27.0054774681
352.1874531215 28.358866954
363.3299082308 28.4770311771
361.9995708868 26.6954173622
376.4185976028 26.2195050147
383.8867876666 29.6161765206
395.5149214888 26.4560094315
403.0464609499 29.4250725053
411.3557902339 27.1440542748
423.8356215093 28.9963202647
439.9826790082 27.6175910199
449.4886080196 28.0209155162
461.9156481305 30.2295218662
470.559321456 25.6916813556
479.4775088366 30.0622618601
486.2875690503 27.1399189669
497.3350000636 27.899495838
503.8177550577 27.1864631769
508.378911666 28.6828287331
521.0734270101 29.085977259
528.907635814 30.0120222686
541.9787281312 27.8732762263
554.7753063932 27.5875000561
549.6404857979 29.9633664121
567.1284388738 30.2949829101
579.7947989302 30.8881796279
583.1558364 29.7239584813
595.6215900314 31.6712485672
603.4839541231 32.4072453849
613.1764119156 31.5515006092
625.6914373006 33.1662063591
638.0445697812 35.873689213
644.5202859534 35.2081685999
649.8944264941 31.2168926119
669.1491238735 30.3843759485
678.0426753774 34.9212486211
689.8502991588 30.549524308
705.9269684384 29.6459155432
711.9557194183 31.9974099782
725.0056952696 30.0012000799
726.0544797367 33.6832958148
745.8969187469 28.8835231433
742.3352748522 31.401837658
754.7236014425 33.8717602719
761.5407004781 30.9019053307
770.7404407357 33.3720039152
778.9336294579 31.8749344767
794.9399105183 31.4464461919
801.1622291012 32.4913593069
810.6751969346 32.8471717553
815.6129305159 31.8016427434
831.6262503982 31.3256424106
839.7138567915 30.5412536922
847.3932115131 32.512563758
857.3003533744 30.2077015182
866.4824965772 32.7965802227
878.0648780569 29.9452414456
890.5411899213 31.8212634595
898.783650397 29.9916096851
906.5932233242 31.0839468627
914.3570439089 32.4851123524
931.637351738 34.2183342665
941.0728925302 35.0967792429
949.7165658556 30.5589387323
960.5000410467 33.1002174035
971.9275684441 31.2941436825
988.0394318334 30.1529746777
992.3436714413 33.3835299861
1008.8813835571 29.3678820771
1017.8875562118 33.1445619817
1030.8847408987 31.5046924434
1043.4490380372 32.7868138573
1046.8523084385 31.3375204226
1067.4584596277 32.1440814301
1077.3092909136 30.2193155744
1091.2848718483 32.736662251
1096.5041583066 29.7906513191
1107.8612974847 28.4596980781
1118.7785102924 30.0982478372
1124.9656347656 31.3807211922
1142.3550443345 32.3775063622
1161.1874123983 34.3957125791
1167.4554833237 35.131797382
1180.2379839418 34.9410453078
1186.8509571416 33.3490397586
1193.397061533 32.2083986655
1209.6532207718 30.0932326766
1217.1354884794 33.3948800864
1230.449420153 29.616968388
1236.2916423519 33.2275320951
1255.6695191149 31.5635545917
1265.0381910988 32.8933640242
1276.4270049756 31.3486065672
1287.7172753454 30.4690177822
1293.8023369007 32.4404158332
1306.8734292178 30.3016697909
1317.6745014637 32.7241683421
1325.9662336929 30.5619302316
1337.2001934872 30.0624378307
1344.7880435238 32.6514045204
1351.4115749564 30.9881308993
1365.5420099735 32.4602125199
1375.1816766015 31.9608081042
1382.9349389533 33.4332416659
1390.7726671683 34.3355306516
1408.8835559846 30.4623309014
1414.866554622 33.1226536484
1427.8461422541 31.6015642301
1434.4485572209 30.080826753
1446.7313014823 33.2634300869
1455.1743683829 30.0796829444
1465.8804165328 33.1435941436
1480.4648555641 31.5511486681
1499.4028059568 32.8566741649
1504.4074083464 31.359780697
1518.6399062813 32.1429376215
1523.6726639586 30.4559959616
1534.526527369 32.5221541528
1546.0420400404 30.1221798318
1550.4483425663 32.6638104441
1566.7960064901 29.9309878312
1571.2867748791 31.9024738675
1584.3367507304 29.9062639692
1592.1322460138 31.0936252429
1593.5294521661 32.4238746017
1607.962556526 31.8529381582
1615.4025913021 35.439657856
1638.4336166449 30.6397092139
1646.0355443253 33.1336518077
1654.4293394724 30.2824890012
1666.7261613777 33.3700682391
1689.6304879259 29.4253364611
1698.7457623204 32.4655796216
1710.0677073888 31.3721866206
1722.6918345137 32.2504556265
1729.3188853573 30.5634259813
1740.229059343 32.2494877885
